ccle	efo
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002314
RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006742
RCM1_LARGE_INTESTINE	EFO_0006476
RDES_BONE	EFO_0002316
RD_SOFT_TISSUE	EFO_0002315
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002317
RERFGC1B_STOMACH	EFO_0006743
RERFLCAI_LUNG	EFO_0002850
RERFLCKJ_LUNG	EFO_0002851
RERFLCMS_LUNG	EFO_0002852
RH30_SOFT_TISSUE	EFO_0005722
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006477
RKN_SOFT_TISSUE	EFO_0006745
RKO_LARGE_INTESTINE	EFO_0001232
RL952_ENDOMETRIUM	EFO_0002320
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002319
RMGI_OVARY	EFO_0006746
RMUGS_OVARY	EFO_0006747
RPMI2650_UPPER_AERODIGESTIVE_TRACT	EFO_0006478
RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002321
RPMI7951_SKIN	EFO_0005712
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002322
RT112_URINARY_TRACT	EFO_0006479
RT4_URINARY_TRACT	EFO_0006480
SBC3_LUNG	EFO_0002854
SBC5_LUNG	EFO_0002855
SC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006481
SCABER_URINARY_TRACT	EFO_0002325
SCC15_UPPER_AERODIGESTIVE_TRACT	EFO_0006482
SCC25_UPPER_AERODIGESTIVE_TRACT	EFO_0006483
SCC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006484
SCC9_UPPER_AERODIGESTIVE_TRACT	EFO_0006485
SCH_STOMACH	EFO_0002856
SCLC21H_LUNG	EFO_0006749
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002326
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006486
SF126_CENTRAL_NERVOUS_SYSTEM	EFO_0005450
SF268_CENTRAL_NERVOUS_SYSTEM	EFO_0005451
SF295_CENTRAL_NERVOUS_SYSTEM	EFO_0005452
SF539_CENTRAL_NERVOUS_SYSTEM	EFO_0005453
SHP77_LUNG	EFO_0002328
SHSY5Y_AUTONOMIC_GANGLIA	EFO_0002717
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006751
SIHA_CERVIX	EFO_0002379
SJRH30_SOFT_TISSUE	EFO_0005722
SJSA1_BONE	EFO_0002330
SKBR3_BREAST	EFO_0001236
SKCO1_LARGE_INTESTINE	EFO_0006752
SKES1_BONE	EFO_0002858
SKGT4_OESOPHAGUS	EFO_0001237
SKLMS1_SOFT_TISSUE	EFO_0002331
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006753
SKMEL1_SKIN	EFO_0002332
SKMEL24_SKIN	EFO_0006487
SKMEL28_SKIN	EFO_0003081
SKMEL2_SKIN	EFO_0002079
SKMEL30_SKIN	EFO_0006488
SKMEL31_SKIN	EFO_0006489
SKMEL3_SKIN	EFO_0002333
SKMEL5_SKIN	EFO_0005720
SKMES1_LUNG	EFO_0002334
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005458
SKNAS_AUTONOMIC_GANGLIA	EFO_0002859
SKNDZ_AUTONOMIC_GANGLIA	EFO_0005721
SKNEP1_BONE	EFO_0002337
SKNFI_AUTONOMIC_GANGLIA	EFO_0002338
SKNMC_BONE	EFO_0002860
SKNSH_AUTONOMIC_GANGLIA	EFO_0003072
SKOV3_OVARY	EFO_0002340
SKUT1_SOFT_TISSUE	EFO_0002341
SNB19_CENTRAL_NERVOUS_SYSTEM	EFO_0002342
SNU16_STOMACH	EFO_0002344
SNU182_LIVER	EFO_0002345
SNU1_STOMACH	EFO_0002343
SNU216_STOMACH	EFO_0006754
SNU387_LIVER	EFO_0002346
SNU398_LIVER	EFO_0002347
SNU423_LIVER	EFO_0002348
SNU449_LIVER	EFO_0002349
SNU475_LIVER	EFO_0002350
SNU5_STOMACH	EFO_0002351
SNU601_STOMACH	EFO_0006756
SNU620_STOMACH	EFO_0006757
SNU668_STOMACH	EFO_0006759
SNU719_STOMACH	EFO_0006760
SNUC1_LARGE_INTESTINE	EFO_0006761
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002353
SU8686_PANCREAS	EFO_0006494
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002354
SUDHL16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002355
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005461
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006492
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002356
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002357
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006493
SUIT2_PANCREAS	EFO_0006495
SUM52PE_BREAST	EFO_0001246
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006763
SW1088_CENTRAL_NERVOUS_SYSTEM	EFO_0002358
SW1116_LARGE_INTESTINE	EFO_0002359
SW1353_BONE	EFO_0002360
SW1417_LARGE_INTESTINE	EFO_0002361
SW1463_LARGE_INTESTINE	EFO_0002362
SW1573_LUNG	EFO_0002363
SW1783_CENTRAL_NERVOUS_SYSTEM	EFO_0002364
SW1990_PANCREAS	EFO_0002365
SW403_LARGE_INTESTINE	EFO_0002366
SW480_LARGE_INTESTINE	EFO_0002083
SW48_LARGE_INTESTINE	EFO_0002367
SW620_LARGE_INTESTINE	EFO_0002368
SW684_SOFT_TISSUE	EFO_0002369
SW756_CERVIX	EFO_0002370
SW780_URINARY_TRACT	EFO_0002371
SW837_LARGE_INTESTINE	EFO_0002372
SW872_SOFT_TISSUE	EFO_0002373
SW900_LUNG	EFO_0002374
SW948_LARGE_INTESTINE	EFO_0002375
SW954_CERVIX	EFO_0002376
SW962_VULVA	EFO_0002377
SW982_SOFT_TISSUE	EFO_0002378
T24_URINARY_TRACT	EFO_0002864
T3M4_PANCREAS	EFO_0002714
T47D_BREAST	EFO_0001247
T84_LARGE_INTESTINE	EFO_0002084
T98G_CENTRAL_NERVOUS_SYSTEM	EFO_0002085
TC71_BONE	EFO_0002865
TCCPAN2_PANCREAS	EFO_0006764
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0001253
TK10_KIDNEY	EFO_0006765
TMK1_STOMACH	EFO_0002867
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002383
TOV112D_OVARY	EFO_0005263
TTC549_SOFT_TISSUE	EFO_0005700
TT_THYROID	EFO_0002382
TYKNU_OVARY	EFO_0006766
U251MG_CENTRAL_NERVOUS_SYSTEM	EFO_0006498
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0001254
U2OS_BONE	EFO_0002869
U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006768
U87MG_CENTRAL_NERVOUS_SYSTEM	EFO_0005237
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0001257
UACC257_SKIN	EFO_0005376
UACC62_SKIN	EFO_0005377
UACC812_BREAST	EFO_0001258
UACC893_BREAST	EFO_0002385
UMC11_LUNG	EFO_0002386
UMUC1_URINARY_TRACT	EFO_0006770
UMUC3_URINARY_TRACT	EFO_0006771
VCAP_PROSTATE	EFO_0007752
VMRCLCD_LUNG	EFO_0006773
WM115_SKIN	EFO_0002390
WM2664_SKIN	EFO_0006774
WM793_SKIN	EFO_0002873
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006775
WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006777
YAPC_PANCREAS	EFO_0006778
YMB1E_BREAST	EFO_0006780
YMB1_BREAST	EFO_0006779
ZR751_BREAST	EFO_0001262
ZR7530_BREAST	EFO_0001263
